OBJECTID,BLD_ID,DEV_ID,DEV_NAME,NGHDNUM,POLICEDIVI,BLDG_POSTC,TOTAL_RESU,MRKT_UNIT,RGI_UNIT,YEAR_BUILT,BUILDING,BUILDFORM,FLR_ABV_GR,BLD_DESC,X,Y,LONGITUDE,LATITUDE
1226,4862,362,Stephenson Ave. (111),62,55,M4C 1G2,40,19,21,1980,Towns & Wkups,Stacked Townhouse Multifam.,3,3 - Storey Stacked Townhouse,320682.469,4838311.723,-79.3028,43.6865911
1227,5700,351,Stephenson Ave. (139),62,55,M4C 1G2,18,11,7,1983,Towns & Wkups,Stacked Townhouse,3,3 - Storey Stacked Townhouse,320709.291,4838309.919,-79.302468,43.6865743
1228,5717,351,Stephenson Ave. (139),62,55,M4C 1G2,32,21,11,1983,Towns & Wkups,Stacked Townhouse Multifam.,3,3 - Storey Stacked Townhouse,320719.764,4838331.44,-79.302337,43.6867678
1229,5718,351,Stephenson Ave. (139),62,55,M4C 1G2,38,21,17,1983,Towns & Wkups,Stacked Townhouse Multifam.,3,3 - Storey Stacked Townhouse,320731.173,4838330.8,-79.302196,43.6867618
428,3522,215,Lawrence Valia,136,43,M1E 3W2,7,0,7,1972,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,331126.337,4847713.69,-79.172796,43.7709249
429,3523,215,Lawrence Valia,136,43,M1E 3W2,7,0,7,1972,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,331126.337,4847713.69,-79.172796,43.7709249
431,3525,215,Lawrence Valia,136,43,M1E 3W2,10,0,10,1972,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,331126.337,4847713.69,-79.172796,43.7709249
434,5530,136,Morningside Apartments,136,43,M1E 4S6,345,2,343,1974,High Rise,High Rise Apt. Bldg.Elevator,14,14 - Storey High Rise Apt. Bldg.,330116.903,4847384.065,-79.18535,43.7679927
437,4143,75,Morningside Coronation,136,43,M1E 2L5,18,0,18,1969,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,330223.061,4847001.677,-79.184049,43.7645473
439,4145,75,Morningside Coronation,136,43,M1E 2L6,16,0,16,1969,Towns & Wkups,Townhouse Multiplex,2,2 - Storey Townhouse Multifam,330309.568,4847058.113,-79.182972,43.7650523
474,5529,135,West Hill  Apartments,136,43,M1E 4T7,375,3,372,1974,High Rise,High Rise Apt. Bldg.Elevator,13,13 - Storey High Rise Apt. Bldg.,329838.377,4847298.753,-79.188813,43.7672342
1723,5646,178,Empringham Mews,132,42,M1B 3Z5,8,2,6,1983,Towns & Wkups,Townhouse,3,3 - Storey Townhouse,327959.767,4852288.648,-79.211933,43.8122095
1724,5654,178,Empringham Mews,132,42,M1B 4A2,10,0,10,1983,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,327894.569,4852288.829,-79.212743,43.8122131
1725,5655,178,Empringham Mews,132,42,M1B 4A4,8,0,8,1983,Towns & Wkups,Townhouse,3,3 - Storey Townhouse,327815.979,4852288.254,-79.21372,43.8122104
1726,5663,178,Empringham Mews,132,42,M1B 3Z2,9,2,7,1983,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,328043.92,4852263.709,-79.210888,43.8119823
1728,5672,178,Empringham Mews,132,42,M1B 3Z6,9,1,8,1983,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,327965.507,4852288.043,-79.211862,43.8122038
1729,90085,178,Empringham Mews,132,42,M1B 3Z2,10,0,10,1983,Towns & Wkups,Townhouse Multiplex,3,3 - Storey Townhouse,328043.92,4852263.709,-79.210888,43.8119823
